Output_Category_Name,Output_Standard_Code,Output_Standard_Name,Output_Indicator_Code,Output_Indicator_Name,Intermediate_Output_Indicator,SOAlign,Reporting_level,Ouptut or Other Output,APR_Include,Data_source,No_of_countries,No_of_measurements,Target,Actual,Progress
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.3,Number of participants who completed vocational/livelihood skills training activities,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,6,9,93289,97850,105%
Assets created,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",D.3,Number of participants who completed vocational/livelihood skills training activities,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,3,4286,4259,99%
Assets created,2.3,School-age children and adolescents have access to school-based health and nutrition packages,D.3,Number of participants who completed vocational/livelihood skills training activities,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,2400,2431,101%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.3,Number of participants who completed vocational/livelihood skills training activities,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,4,5,155072,150671,97%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.3,Number of participants who completed vocational/livelihood skills training activities,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,8,10,57934,54182,94%
Capacity development and technical support provided,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",C.16,Number of national institutions engaged in WFP capacity strengthening activities at national and subnational levels,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,10,22,419,370,88%
Capacity development and technical support provided,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",C.4,Number of people engaged in capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities contributing to Zero Hunger,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,19,26,7273,8122,112%
Capacity development and technical support provided,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",C.5,Number of capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities to contribute to Zero Hunger and other SDGs,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,13,18,198,185,93%
Capacity development and technical support provided,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",C.6,Number of tools or products developed or revised to enhance national systems contributing to zero hunger and other SDGs as part of WFP capacity strengthening,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,4,4,14,14,100%
Capacity development and technical support provided,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",C.4,Number of people engaged in capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities contributing to Zero Hunger,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,7,251,2808,1119%
Capacity development and technical support provided,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",C.5,Number of capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities to contribute to Zero Hunger and other SDGs,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,3,7,475,544,115%
Capacity development and technical support provided,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",C.6,Number of tools or products developed or revised to enhance national systems contributing to zero hunger and other SDGs as part of WFP capacity strengthening,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,0,0,N/A
Capacity development and technical support provided,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",C.16,Number of national institutions engaged in WFP capacity strengthening activities at national and subnational levels,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,10,25,267,269,101%
Capacity development and technical support provided,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",C.4,Number of people engaged in capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities contributing to Zero Hunger,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,15,38,29216,24300,83%
Capacity development and technical support provided,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",C.5,Number of capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities to contribute to Zero Hunger and other SDGs,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,20,35,952,857,90%
Capacity development and technical support provided,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",C.6,Number of tools or products developed or revised to enhance national systems contributing to zero hunger and other SDGs as part of WFP capacity strengthening,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,10,15,47,52,111%
Capacity development and technical support provided,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",C.16,Number of national institutions engaged in WFP capacity strengthening activities at national and subnational levels,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,15,49,614,573,93%
